id,horario_id,persona_id,fecha,created_at,updated_at
2161532,50010,1729032,2012-12-17,2012-12-18 00:03:09 UTC,2012-12-18 00:03:09 UTC
2161533,50010,50057,2012-12-17,2012-12-18 00:03:09 UTC,2012-12-18 00:03:09 UTC
2161534,50010,50950,2012-12-17,2012-12-18 00:03:09 UTC,2012-12-18 00:03:09 UTC
2161535,50010,1842048,2012-12-17,2012-12-18 00:03:09 UTC,2012-12-18 00:03:09 UTC
2161536,50010,1841138,2012-12-17,2012-12-18 00:03:09 UTC,2012-12-18 00:03:09 UTC
2162067,50010,1794962,2012-12-18,2012-12-18 23:54:40 UTC,2012-12-18 23:54:40 UTC
2162068,50010,1729032,2012-12-18,2012-12-18 23:54:40 UTC,2012-12-18 23:54:40 UTC
2162069,50010,50202,2012-12-18,2012-12-18 23:54:40 UTC,2012-12-18 23:54:40 UTC
2162070,50010,50950,2012-12-18,2012-12-18 23:54:40 UTC,2012-12-18 23:54:40 UTC
2165071,50010,1731670,2013-01-03,2013-01-04 00:24:42 UTC,2013-01-04 00:24:42 UTC
2165072,50010,1729032,2013-01-03,2013-01-04 00:24:42 UTC,2013-01-04 00:24:42 UTC
2165073,50010,50202,2013-01-03,2013-01-04 00:24:42 UTC,2013-01-04 00:24:42 UTC
2165074,50010,50950,2013-01-03,2013-01-04 00:24:42 UTC,2013-01-04 00:24:42 UTC
2165075,50010,50073,2013-01-03,2013-01-04 00:24:42 UTC,2013-01-04 00:24:42 UTC
2166156,50010,1731670,2013-01-07,2013-01-08 01:20:07 UTC,2013-01-08 01:20:07 UTC
2166157,50010,1694107,2013-01-07,2013-01-08 01:20:07 UTC,2013-01-08 01:20:07 UTC
2166158,50010,52083,2013-01-07,2013-01-08 01:20:07 UTC,2013-01-08 01:20:07 UTC
2166159,50010,1867864,2013-01-07,2013-01-08 01:20:07 UTC,2013-01-08 01:20:07 UTC
2166160,50010,50950,2013-01-07,2013-01-08 01:20:07 UTC,2013-01-08 01:20:07 UTC
2166767,50010,1729032,2013-01-08,2013-01-08 23:30:46 UTC,2013-01-08 23:30:46 UTC
2166768,50010,1694107,2013-01-08,2013-01-08 23:30:46 UTC,2013-01-08 23:30:46 UTC
2166769,50010,50950,2013-01-08,2013-01-08 23:30:46 UTC,2013-01-08 23:30:46 UTC
2168105,50010,1694107,2013-01-10,2013-01-10 23:13:25 UTC,2013-01-10 23:13:25 UTC
2168106,50010,1758285,2013-01-10,2013-01-10 23:13:25 UTC,2013-01-10 23:13:25 UTC
2168107,50010,50950,2013-01-10,2013-01-10 23:13:25 UTC,2013-01-10 23:13:25 UTC
2168757,50010,1794962,2013-01-11,2013-01-12 23:30:25 UTC,2013-01-12 23:30:25 UTC
2168758,50010,1841184,2013-01-11,2013-01-12 23:30:25 UTC,2013-01-12 23:30:25 UTC
2168759,50010,1731670,2013-01-11,2013-01-12 23:30:25 UTC,2013-01-12 23:30:25 UTC
2168760,50010,1729032,2013-01-11,2013-01-12 23:30:25 UTC,2013-01-12 23:30:25 UTC
2168761,50010,50737,2013-01-11,2013-01-12 23:30:25 UTC,2013-01-12 23:30:25 UTC
2168762,50010,1758285,2013-01-11,2013-01-12 23:30:25 UTC,2013-01-12 23:30:25 UTC
2169387,50010,1841184,2013-01-14,2013-01-14 23:29:25 UTC,2013-01-14 23:29:25 UTC
2169388,50010,1731670,2013-01-14,2013-01-14 23:29:25 UTC,2013-01-14 23:29:25 UTC
2169389,50010,1784584,2013-01-14,2013-01-14 23:29:25 UTC,2013-01-14 23:29:25 UTC
2169390,50010,51226,2013-01-14,2013-01-14 23:29:25 UTC,2013-01-14 23:29:25 UTC
2169391,50010,1842048,2013-01-14,2013-01-14 23:29:25 UTC,2013-01-14 23:29:25 UTC
2169392,50010,1841138,2013-01-14,2013-01-14 23:29:25 UTC,2013-01-14 23:29:25 UTC
2169393,50010,1734910,2013-01-14,2013-01-14 23:29:25 UTC,2013-01-14 23:29:25 UTC
2169938,50010,1794962,2013-01-15,2013-01-15 23:09:17 UTC,2013-01-15 23:09:17 UTC
2169939,50010,50737,2013-01-15,2013-01-15 23:09:18 UTC,2013-01-15 23:09:18 UTC
2169940,50010,1784584,2013-01-15,2013-01-15 23:09:18 UTC,2013-01-15 23:09:18 UTC
2169941,50010,50673,2013-01-15,2013-01-15 23:09:18 UTC,2013-01-15 23:09:18 UTC
2169942,50010,1758285,2013-01-15,2013-01-15 23:09:18 UTC,2013-01-15 23:09:18 UTC
2169943,50010,50950,2013-01-15,2013-01-15 23:09:18 UTC,2013-01-15 23:09:18 UTC
